year,Center X,Center Y
2001,96.80459268949457,35.36452732614978
2002,96.84867128571496,35.375686008081644
2003,96.83419777753315,35.381440455435595
2004,96.86147661401756,35.36113883445275
2005,96.87914665321297,35.379728442266
2006,96.85424846199555,35.37346267090263
2007,96.86099886216405,35.365063836662756
2008,96.8784043420036,35.38273237741327
2009,96.8983590249821,35.37819389380647
2010,96.86190779177609,35.34913623169975
2011,96.85759216035959,35.38711233588641
2012,96.88993084592623,35.39805442381273
2013,96.88138385850186,35.39932765759571
2014,96.8676455492341,35.37280540492169
2015,96.88688867856253,35.383619565109775
2016,96.89526104826989,35.38818409949987
2017,96.85718564025895,35.38047276503756
2018,96.89383506104238,35.400122537648656
2019,96.9137050376784,35.37318946869279
2020,96.89315558979625,35.37350906762849
