year,Center X,Center Y
2001,102.81674742263928,30.617233291030935
2002,102.86600694367114,30.602351037664043
2003,102.88606419420935,30.631275461123103
2004,102.92472921530398,30.644521325561353
2005,102.90233264985754,30.638605419973157
2006,102.86504930872309,30.614329568771748
2007,102.86488473014542,30.614266715746734
2008,102.94465656509625,30.620368044314397
2009,102.90304371817152,30.622889441419513
2010,102.82457050677792,30.651248467125555
2011,102.88382428397973,30.601303338532773
2012,102.90582902566278,30.656348876980655
2013,102.92365796988614,30.59343582397657
2014,102.92328762430569,30.64599649816174
2015,102.92352005743678,30.615616702156803
2016,102.95777508393837,30.625589618213525
2017,102.91015762228167,30.619506571680617
2018,102.95274856840634,30.613837980196696
2019,102.85529849227441,30.633820361306512
2020,102.90352476429891,30.64051583566758
