year,Center X,Center Y
2001,85.06579945224544,41.69857280030118
2002,85.04792929370362,41.70064457449099
2003,85.06092324347652,41.676134638229556
2004,85.06741377894996,41.68684473765845
2005,85.06445865737851,41.71682689965721
2006,85.0646423557257,41.651470456970266
2007,85.08855832874612,41.72781800783351
2008,85.05854804951065,41.65189577792451
2009,85.08154321950434,41.706143471363426
2010,85.02095843387595,41.64234864399786
2011,85.03495027598973,41.709736764409705
2012,85.0332861671181,41.688129520149914
2013,85.01896813177181,41.72008731854294
2014,85.05281223810306,41.66459382015957
2015,85.05915742632368,41.69584014403036
2016,85.04462878814813,41.756662350990226
2017,85.01216309410012,41.71250845252145
2018,84.9907178302556,41.68508483719352
2019,84.99466425050574,41.73027706068803
2020,84.9874005896775,41.71309294960152
