year,Center X,Center Y
2001,89.73729166554219,31.065747932252126
2002,89.84229723598159,31.04992579233943
2003,89.69329723038764,31.083744132038774
2004,89.69806467974442,31.100638204526792
2005,89.77133881816249,31.05440275797017
2006,89.8418180782833,31.023419691176013
2007,89.83745415490571,31.040868490689405
2008,89.71204233642763,31.072941058806595
2009,89.88046440372172,31.0443005056301
2010,89.69440717156401,31.136972326252216
2011,89.75717612969227,31.056497506058733
2012,89.72034948761667,31.068400315865677
2013,89.78383576519633,31.04399841670983
2014,89.70536647327043,31.086059544546725
2015,89.84321561197018,31.054622771796957
2016,89.69110574566928,31.0899727683846
2017,89.755512424872,31.068359370298747
2018,89.65400989607141,31.10150899123083
2019,89.7257122874267,31.08252808294297
2020,89.76569487690287,31.0816741996164
